Rank,Album Cover URL,Track Name,Artist,Genre,Popularity
1,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/1.jpg,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",Pop,100
2,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/2.jpg,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",Hip-Hop,99
3,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/3.jpg,La Bachata,Manuel Turizo,Reggaeton,98
4,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/4.jpg,I'm Good (Blue),"David Guetta, Bebe Rexha",Pop,98
5,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/5.jpg,Titˇ Me Pregunt˘,Bad Bunny,Latin,97
6,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/6.jpg,Me Porto Bonito,"Bad Bunny, Chencho Corleone",Latin,97
7,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/7.jpg,Under The Influence,Chris Brown,Pop,96
8,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/8.jpg,Efecto,Bad Bunny,Latin,96
9,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/9.jpg,I Ain't Worried,OneRepublic,Pop,96
10,https://raw.githubusercontent.com/joyalpraveen/spotify_album_covers/main/10.jpg,Ojitos Lindos,"Bad Bunny, Bomba Est‚reo",Latin,95
